Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2011:2011-T:HM-T:Total-T:Total-T:Total;S7A2011:2011-T:HM-T:Total-01:A pé-T:Total;S7A2011:2011-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2011:2011-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2011:2011-T:HM-T:Total-04:Autocarro-T:Total;S7A2011:2011-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2011:2011-T:HM-T:Total-06:Metropolitano-T:Total;S7A2011:2011-T:HM-T:Total-07:Comboio-T:Total;S7A2011:2011-T:HM-T:Total-08:Motociclo-T:Total;S7A2011:2011-T:HM-T:Total-09:Bicicleta-T:Total;S7A2011:2011-T:HM-T:Total-10:Barco-T:Total;S7A2011:2011-T:HM-T:Total-11:Outro-T:Total;S7A2021:2021-T:HM-T:Total-T:Total-T:Total;S7A2021:2021-T:HM-T:Total-01:A pé-T:Total;S7A2021:2021-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2021:2021-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2021:2021-T:HM-T:Total-04:Autocarro-T:Total;S7A2021:2021-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2021:2021-T:HM-T:Total-06:Metropolitano-T:Total;S7A2021:2021-T:HM-T:Total-07:Comboio-T:Total;S7A2021:2021-T:HM-T:Total-08:Motociclo-T:Total;S7A2021:2021-T:HM-T:Total-09:Bicicleta-T:Total;S7A2021:2021-T:HM-T:Total-10:Barco-T:Total;S7A2021:2021-T:HM-T:Total-11:Outro-T:Total
1401:Abrantes;19128;2909;9505;3690;1654;508;17;316;281;176;0;72;15358;1937;8379;2973;1197;364;18;223;133;84;1;49
1402:Alcanena;7496;1335;3944;1298;539;134;9;33;147;41;0;16;6375;1001;3523;1178;371;120;12;48;81;20;1;20
1408:Constância;2212;393;1008;392;215;53;2;57;53;37;0;2;1974;229;1024;361;195;42;1;51;34;35;0;2
1410:Entroncamento;11797;2524;5161;2081;540;201;15;1014;63;187;1;10;11005;2243;5123;2049;391;153;18;838;50;116;2;22
1411:Ferreira do Zêzere;4066;505;2092;559;477;265;2;18;98;31;1;18;3469;498;1931;486;266;194;2;22;40;13;2;15
1413:Mação;2903;685;1307;450;239;153;0;16;30;11;1;11;2391;475;1268;368;158;63;1;16;24;8;0;10
1421:Ourém;24953;3164;13198;4490;2364;997;15;151;411;123;0;40;22444;3039;12767;3927;1496;602;29;163;245;89;1;86
1417:Sardoal;1868;403;873;285;160;87;1;16;35;7;0;1;1510;342;750;230;87;49;2;20;18;2;0;10
0509:Sertã;7430;946;3769;1425;817;323;4;0;107;25;0;14;6432;843;3667;1239;415;167;7;14;55;14;0;11
1418:Tomar;20070;3507;9803;3882;1604;295;25;488;331;87;0;48;16494;2952;8697;3112;802;176;22;449;160;75;1;48
1419:Torres Novas;19819;2591;10526;3955;1398;332;22;478;342;116;0;59;17228;2357;9659;3383;853;229;23;451;137;82;2;52
0510:Vila de Rei;1385;194;682;230;110;137;1;0;23;7;0;1;1321;196;733;211;81;62;6;4;13;12;0;3
1420:Vila Nova da Barquinha;3708;549;1827;705;194;85;3;234;67;41;0;3;3463;454;1827;755;140;29;1;180;39;29;0;9
0902:Almeida;2785;786;1252;409;221;82;2;6;7;14;0;6;1997;447;1041;286;103;77;1;7;10;9;0;16
0501:Belmonte;3237;639;1584;584;334;54;1;0;23;7;0;11;2725;468;1479;495;176;77;3;4;11;5;0;7
0903:Celorico da Beira;3595;726;1629;685;345;158;0;0;27;1;0;24;2881;525;1516;458;240;109;2;7;14;4;0;6
0503:Covilhã;26672;4541;12921;4935;3382;623;9;25;134;25;0;77;22506;3480;12086;4117;2134;410;10;51;99;47;2;70
0904:Figueira de Castelo Rodrigo;2525;732;1006;379;246;95;0;0;27;7;1;32;2125;599;950;310;140;95;0;3;9;4;1;14
0905:Fornos de Algodres;2016;436;893;310;177;166;0;0;19;2;0;13;1830;352;968;290;115;81;1;2;11;2;0;8
0504:Fundão;13868;3334;6391;2338;1081;510;7;62;82;14;0;49;12076;2736;6219;1962;637;345;10;52;58;22;1;34
0906:Gouveia;5836;1293;2651;839;586;346;4;14;69;19;0;15;4706;822;2451;752;342;264;3;14;30;8;0;20
0907:Guarda;23702;4191;12257;4720;1888;468;9;29;81;11;0;48;21240;3532;12202;3881;1116;337;15;39;66;14;1;37
0908:Manteigas;1456;566;553;232;71;20;4;0;9;1;0;0;1100;327;550;160;33;22;0;0;5;0;0;3
0909:Mêda;2106;495;920;326;202;136;0;0;9;3;0;15;1830;382;918;278;128;103;1;4;7;5;0;4
0910:Pinhel;4047;1013;1814;574;398;147;0;15;21;4;0;61;3319;847;1707;420;179;106;2;9;22;10;0;17
0911:Sabugal;4449;1207;2098;584;367;117;1;12;23;8;0;32;3844;862;2086;459;286;87;2;5;13;7;2;35
0912:Seia;11312;1912;5712;2149;916;466;1;7;83;26;1;39;9433;1400;5238;1780;577;330;2;9;67;13;0;17
0913:Trancoso;4309;847;2063;745;399;191;0;14;22;5;0;23;3445;635;1900;529;184;169;1;7;10;2;0;8
